system:index,month,month_temp,year,.geo
179,12.0,13767.894736842105,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
180,1.0,13427.076923076924,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
181,2.0,13461.176470588236,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
182,3.0,13776.157894736842,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
183,4.0,14128.791666666666,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
184,5.0,14650.3,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
185,6.0,14934.172413793103,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
186,7.0,14992.7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
187,8.0,14995.033333333333,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
188,9.0,14817.653846153846,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
189,10.0,14459.846153846154,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
190,11.0,14082.666666666666,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
191,12.0,13486.62962962963,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
192,1.0,13332.416666666666,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
193,2.0,13732.952380952382,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
194,3.0,13747.47619047619,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
195,4.0,14258.85,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
196,5.0,14510.347826086956,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
197,6.0,14747.36,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
198,7.0,14820.72,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
199,8.0,14785.925925925925,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
200,9.0,14762.3,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
201,10.0,14483.583333333334,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
202,11.0,13776.142857142857,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
203,12.0,13285.551724137931,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
204,1.0,13371.25,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
205,2.0,13504.222222222223,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
206,3.0,13820.826086956522,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
207,4.0,13966.666666666666,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
208,5.0,14709.692307692309,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
209,6.0,14817.384615384615,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
210,7.0,14994.777777777777,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
211,8.0,14876.931034482759,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
212,9.0,14710.56,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
213,10.0,14194.105263157895,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
214,11.0,13707.631578947368,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
215,12.0,13538.133333333333,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
216,1.0,13333.44,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
217,2.0,13440.684210526315,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
218,3.0,13639.625,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
219,4.0,14142.526315789473,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
220,5.0,14397.954545454546,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
221,6.0,14754.545454545454,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
222,7.0,14972.066666666668,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
223,8.0,14866.166666666666,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
224,9.0,14685.958333333334,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
225,10.0,14368.708333333334,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
226,11.0,13605.347826086956,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
227,12.0,13405.583333333334,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
228,1.0,13449.947368421053,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
229,2.0,13439.318181818182,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
230,3.0,13796.272727272728,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
231,4.0,14169.347826086956,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
232,5.0,14526.5,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
233,6.0,14924.862068965518,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
234,7.0,15013.103448275862,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
235,8.0,14915.833333333334,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
236,9.0,14691.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
237,10.0,14277.25,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
238,11.0,14102.05,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
239,12.0,13566.055555555555,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
240,1.0,13407.583333333334,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
241,2.0,13359.72,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
242,3.0,13952.23076923077,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
243,4.0,14277.6,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
244,5.0,14692.52,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
245,6.0,14883.88,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
246,7.0,14853.346153846154,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
247,8.0,14921.166666666666,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
248,9.0,14680.384615384615,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
